T06,"Enrolment in primary, secondary and tertiary education levels",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
15,Northern Africa,2010,Gross enrollment ratio - Tertiary (female),28.1748,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2014,Students enrolled in primary education (thousands),25161.9305,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2014,Gross enrollment ratio - Primary (male),101.1054,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2014,Gross enrollment ratio - Primary (female),97.8254,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2014,Students enrolled in secondary education (thousands),18623.8085,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2014,Gross enrollment ratio - Secondary (male),77.7209,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2014,Gross enrollment ratio - Secondary (female),76.7317,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2014,Students enrolled in tertiary education (thousands),5889.9600,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2014,Gross enrollment ratio - Tertiary (male),28.1288,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2014,Gross enrollment ratio - Tertiary (female),30.3103,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2015,Students enrolled in primary education (thousands),25786.0226,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2015,Gross enrollment ratio - Primary (male),101.4662,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2015,Gross enrollment ratio - Primary (female),97.9952,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
